#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/14
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1158	0.1243	0.1153
#xyY coordinates: 0.3259	0.3497	0.1243
#sRGB: 32	32	26
#CCT Lindbloom (K):	5782
#CCT McCamy (K):	5780
#CCT Hernández-Andrés (K):	5770
#Melatonin: 0.692
#Chlorophyll a: 0.027
#Chlorophyll b: 0.754
#Beta Carotene: 0.027
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.07123359
476.00000000	0.06819915
477.00000000	0.06855461
478.00000000	0.06675900
479.00000000	0.06495076
480.00000000	0.06559930
481.00000000	0.06902529
482.00000000	0.07356819
483.00000000	0.08335872
484.00000000	0.09851160
485.00000000	0.12033808
486.00000000	0.14765888
487.00000000	0.16522652
488.00000000	0.16332651
489.00000000	0.15148131
490.00000000	0.13595287
491.00000000	0.12575017
492.00000000	0.11922272
493.00000000	0.10948193
494.00000000	0.09923979
495.00000000	0.09039011
496.00000000	0.08613076
497.00000000	0.07898750
498.00000000	0.07333981
499.00000000	0.06632363
500.00000000	0.06338095
501.00000000	0.05866020
502.00000000	0.05529658
503.00000000	0.05357341
504.00000000	0.05176955
505.00000000	0.05123056
506.00000000	0.05055031
507.00000000	0.05182239
508.00000000	0.05214641
509.00000000	0.05257920
510.00000000	0.05454287
511.00000000	0.05618253
512.00000000	0.05692774
513.00000000	0.05507851
514.00000000	0.05676174
515.00000000	0.05548708
516.00000000	0.05503108
517.00000000	0.05460577
518.00000000	0.05404564
519.00000000	0.05099109
520.00000000	0.04924136
521.00000000	0.04833376
522.00000000	0.04591719
523.00000000	0.04348696
524.00000000	0.04298818
525.00000000	0.04020016
526.00000000	0.03897783
527.00000000	0.03850199
528.00000000	0.03757428
529.00000000	0.03698039
530.00000000	0.03508631
531.00000000	0.03319790
532.00000000	0.03448210
533.00000000	0.03864041
534.00000000	0.04205557
535.00000000	0.04065538
536.00000000	0.04584579
537.00000000	0.05944768
538.00000000	0.08582040
539.00000000	0.11434601
540.00000000	0.18156512
541.00000000	0.34549456
542.00000000	0.54124489
543.00000000	0.52622786
544.00000000	0.49060076
545.00000000	0.50375696
546.00000000	1.00000000
547.00000000	0.82517318
548.00000000	0.54005659
549.00000000	0.37223177
550.00000000	0.26072043
551.00000000	0.19309971
552.00000000	0.14475847
553.00000000	0.10760487
554.00000000	0.08229620
555.00000000	0.06048932
556.00000000	0.04574732
557.00000000	0.03677288
558.00000000	0.02954946
559.00000000	0.02506920
560.00000000	0.02116582
561.00000000	0.01930345
562.00000000	0.01716656
563.00000000	0.01603856
564.00000000	0.01369984
565.00000000	0.01314151
566.00000000	0.01186840
567.00000000	0.01124795
568.00000000	0.01094379
569.00000000	0.01000164
570.00000000	0.00847798
571.00000000	0.00823516
572.00000000	0.00803977
573.00000000	0.00770158
574.00000000	0.00771138
575.00000000	0.00980033
576.00000000	0.02416031
577.00000000	0.12746071
578.00000000	0.09297165
579.00000000	0.15949866
580.00000000	0.13338009
581.00000000	0.09472783
582.00000000	0.08543968
583.00000000	0.09805303
584.00000000	0.11154794
585.00000000	0.10936310
586.00000000	0.10223583
587.00000000	0.12519107
588.00000000	0.12409040
589.00000000	0.09096854
590.00000000	0.07423091
591.00000000	0.06735625
592.00000000	0.07400021
593.00000000	0.09731401
594.00000000	0.09092678
595.00000000	0.06510310
596.00000000	0.05171928
597.00000000	0.04415097
598.00000000	0.04419298
599.00000000	0.05730150
600.00000000	0.06196349
601.00000000	0.05156153
602.00000000	0.04000194
603.00000000	0.03138786
604.00000000	0.02852122
605.00000000	0.02888648
606.00000000	0.03061533
607.00000000	0.03974056
608.00000000	0.05491560
609.00000000	0.09149619
610.00000000	0.20103896
611.00000000	0.60487459
612.00000000	0.73989718
613.00000000	0.52293308
614.00000000	0.40153789
615.00000000	0.30684693
616.00000000	0.21109757
617.00000000	0.14488220
618.00000000	0.10646657
619.00000000	0.08697056
620.00000000	0.08299476
621.00000000	0.08760570
622.00000000	0.08458621
623.00000000	0.09156218
624.00000000	0.09612312
625.00000000	0.09879050
626.00000000	0.10041495
627.00000000	0.09271131
628.00000000	0.08490224
629.00000000	0.07876041
630.00000000	0.08970548
631.00000000	0.12104127
632.00000000	0.09685235
633.00000000	0.06272004
634.00000000	0.03814756
635.00000000	0.02378319
636.00000000	0.01995174
637.00000000	0.01572074
638.00000000	0.01428033
639.00000000	0.01355497
640.00000000	0.01057208
641.00000000	0.01190990
642.00000000	0.01096930
643.00000000	0.01187742
644.00000000	0.01261386
645.00000000	0.01237208
646.00000000	0.01260355
647.00000000	0.01255226
648.00000000	0.01321472
649.00000000	0.01535496
650.00000000	0.02554658
651.00000000	0.03515642
652.00000000	0.02840394
653.00000000	0.02754815
654.00000000	0.02276862
655.00000000	0.01627623
656.00000000	0.01545652
657.00000000	0.01448964
658.00000000	0.01519360
659.00000000	0.01240352
660.00000000	0.01213777
661.00000000	0.00904945
662.00000000	0.02020744
663.00000000	0.02067039
664.00000000	0.01762255
665.00000000	0.01377459
666.00000000	0.01044861
667.00000000	0.01055275
668.00000000	0.01044372
669.00000000	0.00879323
670.00000000	0.00975032
671.00000000	0.01024266
672.00000000	0.00904533
673.00000000	0.00769333
674.00000000	0.00638903
675.00000000	0.00755981
676.00000000	0.00595882
677.00000000	0.00666433
678.00000000	0.00489166
679.00000000	0.00540384
680.00000000	0.00734561
681.00000000	0.00869115
682.00000000	0.00974310
683.00000000	0.00801838
684.00000000	0.00707263
685.00000000	0.00820861
686.00000000	0.01127141
687.00000000	0.01281054
688.00000000	0.01904233
689.00000000	0.01202177
690.00000000	0.01074788
691.00000000	0.00773638
692.00000000	0.00343682
693.00000000	0.00796786
694.00000000	0.01424553
695.00000000	0.00783640
696.00000000	0.00141050
697.00000000	0.00365308
698.00000000	0.00094833
699.00000000	0.00041604
700.00000000	0.00000000
701.00000000	0.00100194
702.00000000	0.00318756
703.00000000	0.00350306
704.00000000	0.00504297
705.00000000	0.00940594
706.00000000	0.02656141
707.00000000	0.04631312
708.00000000	0.04586590
709.00000000	0.05948170
710.00000000	0.04410972
711.00000000	0.03171368
712.00000000	0.04598834
713.00000000	0.04230277
714.00000000	0.01944264
715.00000000	0.01180911
716.00000000	0.00409799
717.00000000	0.00064313
718.00000000	0.00000000
719.00000000	0.00133833
720.00000000	0.00095297
721.00000000	0.00000000
722.00000000	0.00000000
723.00000000	0.00000000
724.00000000	0.00000000
725.00000000	0.00000000
