#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/11
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.6497	0.5089	0.0060
#xyY coordinates: 0.5579	0.4370	0.5089
#sRGB: 255	63	0
#CCT Lindbloom (K):	1901
#CCT McCamy (K):	1909
#CCT Hernández-Andrés (K):	1565
#Melatonin: 0.044
#Chlorophyll a: 0.165
#Chlorophyll b: 0.324
#Beta Carotene: 0.167
#Manufacturer: Wave Tecnica Canaria
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.00193955
476.00000000	0.00291031
477.00000000	0.00171639
478.00000000	0.00164225
479.00000000	0.00231543
480.00000000	0.00218339
481.00000000	0.00284238
482.00000000	0.00089154
483.00000000	0.00266595
484.00000000	0.00198618
485.00000000	0.00375400
486.00000000	0.00291758
487.00000000	0.00347814
488.00000000	0.00283103
489.00000000	0.00182468
490.00000000	0.00313386
491.00000000	0.00309756
492.00000000	0.00495025
493.00000000	0.00402093
494.00000000	0.00427695
495.00000000	0.00468123
496.00000000	0.00531073
497.00000000	0.00572547
498.00000000	0.00577535
499.00000000	0.00765668
500.00000000	0.00797983
501.00000000	0.00981524
502.00000000	0.00904233
503.00000000	0.01147257
504.00000000	0.01272165
505.00000000	0.01238434
506.00000000	0.01322238
507.00000000	0.01420651
508.00000000	0.01662302
509.00000000	0.01640828
510.00000000	0.01842043
511.00000000	0.02034607
512.00000000	0.02087397
513.00000000	0.02370720
514.00000000	0.02514987
515.00000000	0.02718995
516.00000000	0.02831311
517.00000000	0.03121822
518.00000000	0.03381276
519.00000000	0.03518284
520.00000000	0.03748379
521.00000000	0.04134782
522.00000000	0.04447683
523.00000000	0.04680660
524.00000000	0.05088745
525.00000000	0.05278399
526.00000000	0.05690805
527.00000000	0.06038151
528.00000000	0.06578810
529.00000000	0.07204320
530.00000000	0.07721904
531.00000000	0.08223441
532.00000000	0.08894175
533.00000000	0.09181244
534.00000000	0.10074035
535.00000000	0.10879269
536.00000000	0.11496878
537.00000000	0.12512171
538.00000000	0.13357542
539.00000000	0.14546602
540.00000000	0.15430355
541.00000000	0.16717651
542.00000000	0.17896362
543.00000000	0.19056897
544.00000000	0.20501780
545.00000000	0.22150868
546.00000000	0.23244677
547.00000000	0.24684120
548.00000000	0.26706720
549.00000000	0.27975549
550.00000000	0.29862843
551.00000000	0.32666450
552.00000000	0.34250290
553.00000000	0.36122419
554.00000000	0.38312592
555.00000000	0.40518223
556.00000000	0.43463641
557.00000000	0.45591036
558.00000000	0.48515905
559.00000000	0.50738577
560.00000000	0.53253540
561.00000000	0.56409546
562.00000000	0.58031958
563.00000000	0.59900655
564.00000000	0.62494192
565.00000000	0.64819922
566.00000000	0.66572627
567.00000000	0.69340072
568.00000000	0.71234939
569.00000000	0.73950821
570.00000000	0.75226848
571.00000000	0.77508210
572.00000000	0.79495736
573.00000000	0.80501570
574.00000000	0.82808822
575.00000000	0.83802909
576.00000000	0.85207955
577.00000000	0.87177320
578.00000000	0.88730804
579.00000000	0.89411673
580.00000000	0.90587160
581.00000000	0.91755980
582.00000000	0.93408656
583.00000000	0.94530087
584.00000000	0.95018747
585.00000000	0.97172725
586.00000000	0.97231775
587.00000000	0.97759231
588.00000000	0.98267144
589.00000000	0.98821823
590.00000000	0.98692833
591.00000000	0.98501796
592.00000000	0.99291414
593.00000000	0.99110485
594.00000000	0.99297952
595.00000000	1.00000000
596.00000000	0.99238467
597.00000000	0.98874012
598.00000000	0.98455460
599.00000000	0.98919717
600.00000000	0.98790650
601.00000000	0.97936254
602.00000000	0.97193901
603.00000000	0.96734643
604.00000000	0.96740045
605.00000000	0.95547956
606.00000000	0.93825696
607.00000000	0.93613432
608.00000000	0.92341420
609.00000000	0.91195182
610.00000000	0.90338039
611.00000000	0.90103876
612.00000000	0.87795036
613.00000000	0.87359791
614.00000000	0.86534508
615.00000000	0.86295505
616.00000000	0.85477387
617.00000000	0.84384973
618.00000000	0.84039657
619.00000000	0.82669731
620.00000000	0.82679261
621.00000000	0.79944892
622.00000000	0.78674701
623.00000000	0.77810558
624.00000000	0.76666489
625.00000000	0.75244548
626.00000000	0.73957510
627.00000000	0.72507075
628.00000000	0.71726796
629.00000000	0.69865622
630.00000000	0.69449007
631.00000000	0.67263991
632.00000000	0.65240675
633.00000000	0.65045011
634.00000000	0.63594876
635.00000000	0.62884438
636.00000000	0.60352366
637.00000000	0.59280545
638.00000000	0.58686981
639.00000000	0.57153643
640.00000000	0.56296599
641.00000000	0.54336757
642.00000000	0.53839313
643.00000000	0.51406490
644.00000000	0.50994745
645.00000000	0.49847441
646.00000000	0.49339919
647.00000000	0.47797695
648.00000000	0.46162742
649.00000000	0.45742633
650.00000000	0.44833467
651.00000000	0.43215107
652.00000000	0.41701144
653.00000000	0.41456003
654.00000000	0.40323136
655.00000000	0.38785139
656.00000000	0.38067537
657.00000000	0.37069649
658.00000000	0.35698395
659.00000000	0.35149648
660.00000000	0.33780583
661.00000000	0.33651240
662.00000000	0.32429411
663.00000000	0.31299128
664.00000000	0.30755385
665.00000000	0.29590278
666.00000000	0.28914098
667.00000000	0.27756442
668.00000000	0.27452531
669.00000000	0.26467699
670.00000000	0.26165661
671.00000000	0.25409608
672.00000000	0.24729769
673.00000000	0.23659806
674.00000000	0.23496900
675.00000000	0.22739355
676.00000000	0.21429459
677.00000000	0.21644344
678.00000000	0.20485534
679.00000000	0.19904136
680.00000000	0.19544566
681.00000000	0.18884871
682.00000000	0.18030180
683.00000000	0.17793862
684.00000000	0.17230914
685.00000000	0.16952136
686.00000000	0.15796173
687.00000000	0.15998791
688.00000000	0.15494175
689.00000000	0.14778611
690.00000000	0.14312591
691.00000000	0.14346632
692.00000000	0.13998004
693.00000000	0.13432399
694.00000000	0.13203066
695.00000000	0.12576416
696.00000000	0.12504578
697.00000000	0.12117698
698.00000000	0.11255998
699.00000000	0.11128582
700.00000000	0.11222029
701.00000000	0.10505480
702.00000000	0.10324172
703.00000000	0.09626123
704.00000000	0.09848875
705.00000000	0.09444863
706.00000000	0.09165485
707.00000000	0.08737292
708.00000000	0.08579571
709.00000000	0.08036954
710.00000000	0.08083855
711.00000000	0.08037292
712.00000000	0.07709968
713.00000000	0.07597158
714.00000000	0.07502485
715.00000000	0.06812867
716.00000000	0.06896551
717.00000000	0.06293196
718.00000000	0.06693696
719.00000000	0.05855865
720.00000000	0.06018539
721.00000000	0.05595223
722.00000000	0.05742366
723.00000000	0.05573089
724.00000000	0.05247578
725.00000000	0.05341716
